,ret,up_days,std,maxdn,category
19920618,1.3163879467156887,-0.20888777033475378,0.576908484952126,0.8548869297831055,0
19920619,1.339049485709322,-0.4118358671574646,0.5638319759327864,0.8548869297831055,1
19920622,1.1005069699868695,-0.4118358671574646,0.6015896291249853,0.8548869297831055,1
19920623,1.0583646202277126,-0.4118358671574646,0.5947506413027701,0.8548869297831055,1
19920624,0.9581136400302273,-0.6147839639801754,0.5800848861568344,0.8548869297831055,1
19920625,1.1161840409159858,-0.6147839639801754,0.578118409904379,0.8548869297831055,1
19920626,1.2010907134762308,-0.4118358671574646,0.5705515704208537,0.8548869297831055,1
19920629,1.230996404592516,-0.20888777033475378,0.6082593075823028,0.8548869297831055,1
19920630,1.3163879467156887,-0.20888777033475378,0.6044621667636974,0.8548869297831055,0
19920701,1.1440033843339614,-0.4118358671574646,0.6221490035079251,0.8548869297831055,1
19920702,1.1064908776573912,-0.6147839639801754,0.6157229043102509,0.8548869297831055,1
19920703,1.1189206796712217,-0.6147839639801754,0.6174043314247769,0.8548869297831055,1
19920706,0.7641181480340685,-0.8177320608028862,0.6244187736603043,0.8548869297831055,1
19920707,0.8528007878434815,-0.8177320608028862,0.5293337080312079,0.8548869297831055,1
19920708,1.0234066211551476,-0.6147839639801754,0.5264516987979694,0.8548869297831055,1
19920709,0.7620393407617415,-0.6147839639801754,0.48953246570184883,0.8548869297831055,1
19920710,0.8192075154614374,-0.8177320608028862,0.44478431825894965,0.8548869297831055,1
19920713,0.9078134927081846,-0.6147839639801754,0.4377887937571804,0.8548869297831055,1
19920714,0.9557955460257922,-0.4118358671574646,0.43610330628575783,0.8548869297831055,1
19920715,0.8338304693218564,-0.4118358671574646,0.43638646854650437,0.8548869297831055,1
19920716,0.8484609375470549,-0.4118358671574646,0.4257263494927834,0.8548869297831055,1
19920717,0.8343193826728125,-0.4118358671574646,0.42511951369239426,0.8548869297831055,1
19920720,1.0136188263145953,-0.4118358671574646,0.4544360366542988,0.8548869297831055,1
19920721,0.9406361121402864,-0.4118358671574646,0.4546136309493888,0.8548869297831055,1
19920722,0.8255704069188584,-0.4118358671574646,0.4517440041307583,0.8548869297831055,1
19920723,0.6853512455083696,-0.4118358671574646,0.4384583150688086,0.8548869297831055,1
19920724,0.31699254175017866,-0.4118358671574646,0.3963073142355151,0.8548869297831055,1
19920727,0.16308433889474497,-0.4118358671574646,0.2505393017215606,-1.353740402851711,0
19920728,0.13680300197520923,-0.6147839639801754,0.19763545276466774,-1.1398072325867354,0
19920729,0.32446424318392214,-0.6147839639801754,0.19266736696136108,-1.1398072325867354,0
19920730,0.42542097827240133,-0.4118358671574646,0.15341578276405643,-1.1398072325867354,0
19920731,0.2870982898122088,-0.4118358671574646,0.14993826875911093,-1.0904380394486648,0
19920803,-0.1423722197116211,-0.6147839639801754,0.19133712710179696,-0.6461153012060239,1
19920804,-0.022576482316648206,-0.6147839639801754,0.16018010731386356,-0.6461153012060239,1
19920805,0.0894672671616011,-0.4118358671574646,0.1624925815623754,-0.6461153012060239,1
19920806,0.04480913237810195,-0.4118358671574646,0.16090046896043297,-0.6461153012060239,1
19920807,0.16008831517008656,-0.20888777033475378,0.16641358831661196,-0.6461153012060239,0
19920810,0.125437883073489,-0.005939673512044106,0.17338500130641693,-0.6461153012060239,0
19920811,0.03597584506596361,-0.20888777033475378,0.19529173955265192,-0.6461153012060239,0
19920812,0.05636803177650479,-0.005939673512044106,0.1852150966876402,-0.6461153012060239,0
19920813,-0.021375841692819957,-0.005939673512044106,0.19983025195378337,-0.563833312642572,0
19920814,0.003670703128641636,0.1970084233106667,0.2098129728827127,-0.563833312642572,0
19920817,-0.055297350226844885,0.1970084233106667,0.2033794621981083,-0.563833312642572,0
19920818,-0.07476587626923677,-0.005939673512044106,0.19893958958626412,-0.563833312642572,0
19920819,-0.0005178052883934994,0.1970084233106667,0.1989981775886024,-0.563833312642572,0
19920820,0.02793978585058864,0.3999565201333775,0.1976905609298047,-0.563833312642572,0
19920821,-0.09237243402837726,0.3999565201333775,0.20027906762395517,-0.563833312642572,0
19920824,-0.06283546323440597,0.1970084233106667,0.19862542907261221,-0.563833312642572,0
19920825,0.028131824030367944,0.1970084233106667,0.2101808077300478,-0.3005309492395258,0
19920826,0.16981679764703284,0.3999565201333775,0.16425940422565874,-0.3005309492395258,0
19920827,0.13605169732824532,0.6029046169560883,0.15945696361410286,-0.3005309492395258,0
19920828,0.16969548590935998,0.3999565201333775,0.1566741362940104,-0.3005309492395258,0
19920831,0.2808321341889762,0.3999565201333775,0.15771074264797222,-0.3005309492395258,0
19920901,0.2615106709613354,0.3999565201333775,0.13366196964749674,-0.25938995495779965,0
19920902,0.24993592167531922,0.3999565201333775,0.13440177083662241,-0.16887976753800332,0
19920903,0.27630424097576767,0.3999565201333775,0.13303011710283524,-0.16887976753800332,0
